tanggal,pasar,komoditas,harga
2026-08-13,Pasar Stasiun Majalaya,IKAN BANDENG,40000.0
2026-08-13,Pasar Stasiun Majalaya,Ikan Bawal Air Tawar,34000.0
2026-08-13,Pasar Stasiun Majalaya,Ikan Gurame,55000.0
2026-08-13,Pasar Stasiun Majalaya,IKAN KEMBUNG,50000.0
2026-08-13,Pasar Stasiun Majalaya,Ikan Lele,30000.0
2026-08-13,Pasar Stasiun Majalaya,IKAN MAS,32000.0
2026-08-13,Pasar Stasiun Majalaya,Ikan Nila,36000.0
2026-08-13,Pasar Stasiun Majalaya,Ikan Patin,34000.0
2026-08-13,Pasar Stasiun Majalaya,IKAN TONGKOL,44000.0
2026-08-13,Pasar Stasiun Majalaya,JAGUNG MANIS,10000.0
2026-08-13,Pasar Stasiun Majalaya,JAGUNG PIPILAN,
2026-08-13,Pasar Stasiun Majalaya,JERUK,30000.0
2026-08-13,Pasar Stasiun Majalaya,KACANG HIJAU,38000.0
2026-08-13,Pasar Stasiun Majalaya,KACANG KEDELAI IMPOR,16000.0
2026-08-13,Pasar Stasiun Majalaya,KACANG KEDELAI LOKAL,14000.0
2026-08-13,Pasar Stasiun Majalaya,KACANG PANJANG,16000.0
2026-08-13,Pasar Stasiun Majalaya,KACANG TANAH KUPAS,40000.0
2026-08-13,Pasar Stasiun Majalaya,KANGKUNG,3000.0
2026-08-13,Pasar Stasiun Majalaya,KENTANG DIENG,20000.0
2026-08-13,Pasar Stasiun Majalaya,KETELA POHON,6000.0
2026-08-13,Pasar Stasiun Majalaya,MELON,20000.0
2026-08-13,Pasar Stasiun Majalaya,MIE INSTAN INDOMIE,3000.0
2026-08-13,Pasar Stasiun Majalaya,MINYAK BIMOLI,
2026-08-13,Pasar Stasiun Majalaya,MINYAK CURAH,22000.0
2026-08-13,Pasar Stasiun Majalaya,MINYAKITA,21000.0
2026-08-13,Pasar Stasiun Majalaya,MINYAK SANIA,
2026-08-13,Pasar Stasiun Majalaya,PAKCOY,8000.0
2026-08-13,Pasar Stasiun Majalaya,PEPAYA,15000.0
2026-08-13,Pasar Stasiun Majalaya,PISANG,8000.0
2026-08-13,Pasar Stasiun Majalaya,SAWI PUTIH,8000.0
2026-08-13,Pasar Stasiun Majalaya,SAYURAN BUNCIS,24000.0
2026-08-13,Pasar Stasiun Majalaya,SAYURAN KENTANG LOKAL,15000.0
2026-08-13,Pasar Stasiun Majalaya,SAYURAN KOL/KUBIS,7000.0
2026-08-13,Pasar Stasiun Majalaya,SAYURAN TOMAT,8000.0
2026-08-13,Pasar Stasiun Majalaya,SAYURAN WORTEL,18000.0
2026-08-13,Pasar Stasiun Majalaya,SKM BENDERA,13000.0
2026-08-13,Pasar Stasiun Majalaya,SKM CAP ENAK,11500.0
2026-08-13,Pasar Stasiun Majalaya,SKM INDOMILK,12500.0
2026-08-13,Pasar Stasiun Majalaya,SUSU BALITA (SGM),
2026-08-13,Pasar Stasiun Majalaya,SUSU BUBUK DANCOW VANILA,
2026-08-13,Pasar Stasiun Majalaya,TAHU,12000.0
2026-08-13,Pasar Stasiun Majalaya,TELUR AYAM BROILER,26000.0
2026-08-13,Pasar Stasiun Majalaya,TELUR AYAM KAMPUNG,4000.0
2026-08-13,Pasar Stasiun Majalaya,TEMPE,14000.0
2026-08-13,Pasar Stasiun Majalaya,TERIGU CAKRA KEMBAR,14000.0
2026-08-13,Pasar Stasiun Majalaya,TERIGU CURAH,10000.0
2026-08-13,Pasar Stasiun Majalaya,TERIGU KUNCI BIRU,12000.0
2026-08-13,Pasar Stasiun Majalaya,TERIGU SEGITIGA BIRU,13000.0
2026-08-13,Pasar Stasiun Majalaya,TERI KERITING,100000.0
2026-08-13,Pasar Stasiun Majalaya,TERI MEDAN,160000.0
2026-08-13,Pasar Stasiun Majalaya,TIMUN,15000.0
2026-08-13,Pasar Stasiun Majalaya,TOMAT HIJAU,7000.0
2026-08-13,Pasar Stasiun Majalaya,UBI JALAR PUTIH,8000.0
2026-08-13,Pasar Stasiun Majalaya,UDANG,100000.0
2026-08-13,Pasar Baru Majalaya,BAWANG BOMBAY,36000.0
2026-08-13,Pasar Baru Majalaya,BAWANG DAUN,14000.0
2026-08-13,Pasar Baru Majalaya,BAWANG MERAH,36000.0
2026-08-13,Pasar Baru Majalaya,BAWANG MERAH BATU,28000.0
2026-08-13,Pasar Baru Majalaya,BAWANG PUTIH BIASA,32000.0
2026-08-13,Pasar Baru Majalaya,BAWANG PUTIH KATING,
2026-08-13,Pasar Baru Majalaya,BAWANG SUMENEP,48000.0
2026-08-13,Pasar Baru Majalaya,BAYAM,3000.0
2026-08-13,Pasar Baru Majalaya,BERAS IR. 64,15000.0
2026-08-13,Pasar Baru Majalaya,BERAS MEDIUM,14500.0
2026-08-13,Pasar Baru Majalaya,BERAS PREMIUM,16000.0
2026-08-13,Pasar Baru Majalaya,CABE HIJAU BIASA,34000.0
2026-08-13,Pasar Baru Majalaya,CABE MERAH KERITING,45000.0
2026-08-13,Pasar Baru Majalaya,CABE MERAH TANJUNG,95000.0
2026-08-13,Pasar Baru Majalaya,CABE MERAH TW,
2026-08-13,Pasar Baru Majalaya,CABE RAWIT HIJAU,50000.0
2026-08-13,Pasar Baru Majalaya,CABE RAWIT MERAH,48000.0
2026-08-13,Pasar Baru Majalaya,DAGING AYAM BROILER,43000.0
2026-08-13,Pasar Baru Majalaya,DAGING AYAM KAMPUNG,
2026-08-13,Pasar Baru Majalaya,DAGING SAPI IMPOR BEKU,130000.0
2026-08-13,Pasar Baru Majalaya,DAGING SAPI LOKAL HAS DALAM,140000.0
2026-08-13,Pasar Baru Majalaya,DAGING SAPI LOKAL HAS LUAR,130000.0
2026-08-13,Pasar Baru Majalaya,DAGING SAPI LOKAL PAHA BELAKANG,135000.0
2026-08-13,Pasar Baru Majalaya,DAGING SAPI LOKAL PAHA DEPAN,140000.0
2026-08-13,Pasar Baru Majalaya,DAGING SAPI LOKAL SANDUNG LAMUR,130000.0
2026-08-13,Pasar Baru Majalaya,DAGING SAPI LOKAL TETELAN,70000.0
2026-08-13,Pasar Baru Majalaya,DAGING SAPI MURNI,150000.0
2026-08-13,Pasar Baru Majalaya,GARAM BATA,16000.0
2026-08-13,Pasar Baru Majalaya,GARAM HALUS YODIUM,2000.0
2026-08-13,Pasar Baru Majalaya,GAS LPG 3 Kg,22000.0
2026-08-13,Pasar Baru Majalaya,GULA MERAH,24000.0
2026-08-13,Pasar Baru Majalaya,GULA PASIR GULA KU,20000.0
2026-08-13,Pasar Baru Majalaya,GULA PASIR LOKAL,19000.0
2026-08-13,Pasar Baru Majalaya,IKAN BANDENG,40000.0
2026-08-13,Pasar Baru Majalaya,Ikan Bawal Air Tawar,32000.0
2026-08-13,Pasar Baru Majalaya,Ikan Gurame,50000.0
2026-08-13,Pasar Baru Majalaya,IKAN KEMBUNG,48000.0
2026-08-13,Pasar Baru Majalaya,Ikan Lele,30000.0
2026-08-13,Pasar Baru Majalaya,IKAN MAS,30000.0
2026-08-13,Pasar Baru Majalaya,Ikan Nila,34000.0
2026-08-13,Pasar Baru Majalaya,Ikan Patin,33000.0
2026-08-13,Pasar Baru Majalaya,IKAN TONGKOL,42000.0
2026-08-13,Pasar Baru Majalaya,JAGUNG MANIS,10000.0
2026-08-13,Pasar Baru Majalaya,JAGUNG PIPILAN,
